Park Alpha,Status,park alpha,park,State,region,title,description,category,relatedRoadEvents
BLCA,Using TDx feed and alerts,BLCA,Black Canyon of the Gunnison National Park,CO,IMR,"['North Rim Road', 'South Rim Drive and East Portal Road closed for winter', 'South Rim Road construction continuing in 2025']","['The North Rim Road will close for the season on November 15.', 'South Rim Drive is closed past the visitor center. Until there is enough snow for grooming, it will remain open for pedestrians and bicycles. East Portal Road (managed by the BOR) is closed for winter. It will reopen in spring as conditions permit.', 'Major road improvement projects are complete for 2024. Construction will continue in 2025. Expect delays, alternating one-way traffic, and parking lot closures.']","['Caution', 'Park Closure', 'Caution']","[[], [{'title': 'Winter Closures', 'id': '55A2F23C-2E69-444C-9E19-8C00BB85B885', 'type': 'roadevent', 'url': 'https://www.nps.gov/blca/planyourvisit/conditions.htm'}], [{'title': 'South Rim Road Construction', 'id': '75883C21-B99F-44AB-A551-DDBAD3306156', 'type': 'roadevent', 'url': 'https://www.nps.gov/blca/planyourvisit/conditions.htm'}]]"
MOJA,Using TDx feed and alerts,MOJA,Mojave National Preserve,CA,PWR,"['Cima Road is now open!!!', 'Hart Mine Road Closed due to dangerous potential for collapse']","['Cima Road is now open!!!', 'Hart Mine Road is missing several wooden culverts the burned in the 2023 York Fire. The road may appear intact but could cave in under the weight of a vehicle. Stay off of Hart Mine Road for your safety.']","['Information', 'Caution']","[[], [{'title': 'Hart Mine Road', 'id': '09EAF34E-7380-4129-A04E-4F3AF013E1BD', 'type': 'roadevent', 'url': 'https://www.nps.gov/moja/planyourvisit/conditions.htm'}]]"
KAWW,Using TDx feed and alerts,KAWW,Katahdin Woods and Waters National Monument,ME,NER,['Loop Road and North Entrance Seasonal Closures'],"['The Loop Road and North Entrance are closed to motorized vehicles for the winter starting 11/4. These areas are accessible by foot, bike, ski, and snowshoe. Restrooms and campsites are accessible but not maintained in the off season. Learn more below.']",['Park Closure'],"[[{'title': 'Seasonal Road Closures ', 'id': '5FB538D1-9B40-4FD9-AFE9-F63EA553C3FF', 'type': 'roadevent', 'url': 'https://www.nps.gov/kaww/planyourvisit/conditions.htm'}]]"
HAVO,Using TDx feed and alerts,HAVO,Hawai'i Volcanoes National Park,HI,PWR,"['Mauna Loa Road past Kīpukapuaulu closed for survey work Mon.-Fri, 8:30 am to 4 p.m.']","['Mauna Loa Road is closed past Kīpukapuaulu to all use for survey, drilling and soil sampling work, Monday thru Friday, 8:30 a.m. to 4 p.m. The road is open weekends and holidays.']",['Park Closure'],"[[{'title': 'Mauna Loa Road Closed', 'id': '12FEFC3F-E8A2-4BEF-BC76-813D86640489', 'type': 'roadevent', 'url': 'https://www.nps.gov/havo/planyourvisit/conditions.htm'}]]"
GRTE,Only using alerts,GRTE,Grand Teton National Park,WY,IMR,['Construction Closures at LSR Preserve and Death Canyon'],['Construction will close the Laurance S. Rockefeller Preserve entrance road and parking area on September 23 and Death Canyon Road and Trailhead on October 1. Access Phelps Lake and Death Canyon via the Valley Trail network. Planned to open for winter rec.'],['Park Closure'],[[]]
CAVO,Only using alerts,CAVO,Capulin Volcano National Monument,NM,IMR,"['November 13 2024 Volcano Road Closure', 'November 13 2024 Larger Vehicles Discouraged', 'Volcano Road Closed to RVs and Buses over 26 feet, and to all Trailers.']","['November 13, 2024, Volcano Road will remain closed today due to over 7 feet of snow and park staff need more time to clear the road. Visitor Center, parkstore, museum, and park film are open.', 'November 13, 2024, Vehicles larger than 26 feet and trailers are strongly discouraged from visiting the park due to limited place to park or turn around because of snow and snow drifts impeding the parking lots. Please visit on a different day.', 'The Volcano top road is not accessible to RVs, buses, attached trailers, or any other vehicle over 26 feet in length, due to the narrowness and weight limits of Volcano Road. Trailer drop off and RV/bus parking is available at the Visitor Center.']","['Park Closure', 'Park Closure', 'Park Closure']","[[], [], []]"
YELL,Only using alerts,YELL,Yellowstone National Park,"ID,MT,WY",IMR,"['Most Park Roads Closed to All Vehicles', 'Vehicle entrance reservation not needed']","['Most roads are closed to prepare for commercially-guided snowcoach and snowmobile travel during the winter season, which will begin December 15. The road between the North and Northeast entrances is the only road open year-round to regular vehicles.', 'Although an entrance pass is required to enter Yellowstone National Park, vehicle reservations are not needed. You are encouraged to purchase an entrance pass before arriving, but you may also purchase passes at any entrance station upon arrival.']","['Park Closure', 'Information']","[[], []]"
FONE,Only using alerts,FONE,Fort Necessity National Battlefield,PA,NER,['Portions of Braddock Road Trail Closed'],['Portions of the Braddock Road Trail at the Indian Run bridge are closed until a new foot bridge is constructed.'],['Information'],[[]]
BIBE,Only using alerts,BIBE,Big Bend National Park,TX,IMR,['Bringing a Pet to Big Bend?'],"['Bringing your pet to Big Bend National Park will limit some of your park explorations and opportunities. Pets are not allowed on park trails, in the backcountry, or on the river. Pets are allowed only where vehicles can go. Pets may not be left unattended']",['Information'],[[]]
GRPO,Only using alerts,GRPO,Grand Portage National Monument,MN,MWR,"['Mile Creek Road Realignment', 'Flooding on the Grand Portage Trail at Poplar Creek']","['Construction to realign a portion of Mile Creek Road and construct a new bridge over Grand Portage Creek continues. Beginning Tuesday September 3, the public should expect traffic control flagging and temporary delays.', 'Increased rain and beaver dam activity this year flooded the Poplar Creek Crossing along the Grand Portage Trail. Please use caution as you pass through the water. Park staff is in the process of determining a drier route.']","['Information', 'Caution']","[[], []]"
MORU,Only using alerts,MORU,Mount Rushmore National Memorial,SD,MWR,['Highway Construction Impacting Travel to the Memorial'],['Numerous highway construction projects are occurring in the Black Hills and may impact trip planning to the Memorial. Please consult with South Dakota 511 to minimize delays or other inconveniences.'],['Information'],[[]]
DAAV,Only using alerts,DAAV,Dayton Aviation Heritage National Historical Park,OH,MWR,['Temporary Road Closure on Hebble Creek near Huffman Prairie'],['Huffman Prairie and the Flying Field will be inaccessible from 11/10/24 - 11/16/24. This road closure notice is for Hebble Creek Road. Beginning Sunday 11/10/24 Hebble Creek Road will have restricted traffic due to Natural Resources Management activities.'],['Park Closure'],[[]]
VOYA,Only using alerts,VOYA,Voyageurs National Park,MN,MWR,['Salmi Road Entrance to the Kab-Ash Trail out of the Kabetogama Community Remains Temporarily Closed.'],"[""Salmi Road entrance to the Kab-Ash Trail remains temporarily closed at the trail's western most terminus. Access to the trail remains open at trailheads along Ash River Trail road, Meadwood Road, and the eastern terminus within the community of Ash River.""]",['Park Closure'],[[]]
EVER,Only using alerts,EVER,Everglades National Park,FL,SER,"['Click on ""caution"" alerts below for important details on accessing the park', ""Road construction on approach to park's Homestead entrance"", 'Roadwork may cause delays on US 41/Tamiami Trail']","['Tamiami Trail and State Road 9336 both have ongoing construction which may cause minor delays. If you have a scheduled tour, please plan accordingly.', 'Roadwork is underway along State Road 9336 leading to the Homestead entrance of the park, approaching the Ernest F. Coe Visitor Center. Drivers may experience short delays and should watch for personnel, construction equipment, and slowdowns.', ""Current roadwork is ongoing along the park's northern boundary on US Highway 41/Tamiami Trail to raise the road for Everglades Restoration benefits. Drivers may experience up to 15-minute delays and should watch for personnel, equipment and slow downs.""]","['Park Closure', 'Caution', 'Caution']","[[], [], []]"
ANAC,Only using alerts,,,,,,,,
ALCA,Only using alerts,ALCA,Alcatraz Island,CA,PWR,['Auto-Theft Warning - Only Bring What You Need to the Park'],"['You can help prevent vehicle break-ins in parking lots. Before leaving your car to catch the ferry: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.']",['Caution'],[[]]
LARO,Only using alerts,LARO,Lake Roosevelt National Recreation Area,WA,PWR,"['Partial Miles Creston Road Closure begins on July 10, 2024', 'Hawk Creek Lane Restriction at Lake Roosevelt National Recreation Area']","['Lincoln County will be closing a portion of Miles Creston from Highway 2 to Copenhaver Road beginning July 10, 2024, through December 1, 2024. If you are accessing Lincoln Mill, Hawk Creek, or Seven Bays you may need to find an alternate route.', 'Due to undercutting action of Hawk Creek on the access road between the Hawk Creek campground and boat launch, the road will be reduced to one lane until further notice. Use caution while on this road.']","['Park Closure', 'Park Closure']","[[], []]"
YORK,Only using alerts,YORK,Yorktown Battlefield,VA,NER,['Rehabilitation of Colonial Parkway continues with additional Parkway closures'],"['Beginning Tuesday, April 9, 2024, construction will close the Colonial Parkway to all travel in either direction between Yorktown and VA Route 199. Follow all detour signs. See additional closure information in the link below.']",['Park Closure'],[[]]
PETR,Only using alerts,PETR,Petroglyph National Monument,NM,IMR,['Vehicle Break-Ins: Take precautions to secure your vehicle and valuables.'],"[""This is an urban park. Don't hide valuables inside your car. Carry items with you on hike. Lock your vehicle and set car alarm. Recent auto break-ins at Rinconada Canyon parking lot. Report suspicious persons loitering/peeking in cars. Call 928-638-7805""]",['Caution'],[[]]
CUIS,Only using alerts,CUIS,Cumberland Island National Seashore,GA,SER,['Dungeness Beach access closed to vehicular traffic until further notice'],"['Due to flooding conditions, concern for safety and to limit damage, Dungeness beach access is closed to all vehicular traffic until water recedes and it is deemed safe. Pedestrian traffic is open on hiking trail.']",['Park Closure'],[[]]
MISP,Only using alerts,,,,,,,,
FODO,Only using alerts,FODO,Fort Donelson National Battlefield,TN,SER,"['Fort Donelson NB Road Access on Winter Schedule Beginning Sunday, November 3, 2024', 'County road through the Fort Heiman Unit is Closed to Vehicles Past the Pavilion']","['From November 3, 2024, through March 9, 2025, vehicles may access park roads from 8:00 am to 4:30 pm for the winter season. Pedestrian Access remains from dawn to dusk.', 'Fort Heiman is located at 682 Fort Heiman Road, New Concord KY. Due to poor conditions of county roads, the County has posted the loop road closed to vehicles past the park pavilion. Pedestrian access is permitted.']","['Information', 'Information']","[[], []]"
CHIR,Only using alerts,CHIR,Chiricahua National Monument,AZ,IMR,['Vehicle Length Limits'],"[""Vehicles longer than 24 feet are not permitted past the visitor center on Bonita Canyon Drive. Vehicles up to 29 feet are still allowed to stay in the campground, but can't go further. Parking for large vehicles and trailers is available at Faraway Ranch.""]",['Information'],[[]]
FOUN,Only using alerts,FOUN,Fort Union National Monument,NM,IMR,['New Mexico Road Advisories'],['The New Mexico Department of Transportation updates its map of road advisories regularly. Visitors are encouraged to look for any possible road advisories along their route of travel beforehand.'],['Information'],[[]]
DENA,Only using alerts,DENA,Denali National Park and Preserve,AK,AKR,"['Park Operations Altered Due to Pretty Rocks Landslide', 'Road Open To: Mile 3 (Park Headquarters)']","['Summer access to facilities and services in Denali remains altered due to the Pretty Rocks Landslide and the associated closure of the Park Road at Mile 43. Check here for more information on what to expect.', 'The Denali Park Road is currently open to Mile 3, Park Headquarters. Snowy conditions beyond that point prevent vehicle travel, though pedestrian travel is permitted.']","['Park Closure', 'Information']","[[], []]"
THRO,Only using alerts,THRO,Theodore Roosevelt National Park,ND,MWR,['South Unit Road from the Old East Entrance station mile near marker 22 to mile marker 28'],"['Due to major road repair work, the former scenic loop between the Old East Entrance Station (near mile marker 22) and mile marker 28 is closed to all traffic, including pedestrian, and bicycle access.']",['Caution'],[[]]
HALE,Only using alerts,HALE,Haleakala National Park,HI,PWR,['Portion of Kekaulike Avenue in Kula to close for approximately nine months'],"['A portion of Kekaulike Avenue (Route 377) between Waiakoa Road and ʻAlae Road will be closed for 24 hours, seven days a week, for approximately nine months.']",['Information'],[[]]
LAKE,Only using alerts,LAKE,Lake Mead National Recreation Area,NV,PWR,['Government Wash closure to vehicle access and overnight camping'],"['Government Wash Road and 8.0 Mile Road will be blocked, and motor vehicle access and overnight camping in the area will be prohibited. Hiking, biking, and shoreline access by boat for recreation within 100 feet of the shoreline will remain available.']",['Park Closure'],[[]]
FOMC,Only using alerts,FOMC,Fort McHenry National Monument and Historic Shrine,MD,NER,['Motorized Recreational Scooters Not Permitted in Park'],"['For the safety and protection of visitors and park resources, motorized scooters are not permitted within the park. Any vehicles (scooters, bicycles, etc.) that are part of a ride-share program may not be left behind for pick up inside the park']",['Information'],[[]]
KEFJ,Only using alerts,KEFJ,Kenai Fjords National Park,AK,AKR,['Road to Exit Glacier Closed to Automobiles'],"['The Alaska Department of Transportation has closed Herman Leirer Road for winter. Therefore, the road to Exit Glacier under the National Park Service is closed as well. Reopening is typically in mid to late-May, with variation due snow and weather.']",['Information'],[[]]
PARA,Only using alerts,PARA,Grand Canyon-Parashant National Monument,AZ,IMR,"['Looking for a Grand Canyon view? A warning about mobile devices and map/navigation apps', 'Arizona Off-Highway Vehicle (OHV) Requirements for Residents and Non-residents.']","['Map apps may direct you to Parashant if you search for directions to ""Grand Canyon"" due the canyon\'s name in both the national park and monument names. The national park has paved roads and services. Parashant has no services and rugged/remote conditions.', 'Off-highway vehicles (OHVs) are required by law to display a valid OHV decal to operate on public and state trust lands in Arizona. This includes “street legal” vehicles that meet these two requirements.']","['Caution', 'Information']","[[], []]"
ROMO,Only using alerts,ROMO,Rocky Mountain National Park,CO,IMR,['Trail Ridge Road is Closed to Through Travel for the Season'],['Trail Ridge Road (U.S. Hwy 34) is closed to vehicles to through travel for the season. Trail Ridge Road is closed on the east side of the park at Many Parks Curve and on the west side of the park at Colorado River Trailhead.'],['Park Closure'],[[]]
VAFO,Only using alerts,VAFO,Valley Forge National Historical Park,PA,NER,"['AQUA Project to Install New Water Main Along Route 23', 'County Line Road Closed Monday To Friday']","[""Aqua project to install a new water main along route 23 will replace an outdated main. No impact to visitors at Washington's HQ or trail access - there will be some detours near the road, but the area will still be passable. Please stay out of worksite."", 'County Line Road is closed during the week, from Monday through Friday. The closure will apply to all vehicular, pedestrian, and bicycle traffic. Please find an alternate route.']","['Information', 'Information']","[[], []]"
ROCA,Only using alerts,ROCA,Roosevelt Campobello International Park,ME,NER,['Roosevelt Campobello International Park is located in Welshpool.'],"['Campobello Island is located in the province of New Brunswick, Canada. The physical address for the Visitor Centre is: 459 Route 774 Welshpool, New Brunswick, Canada E5E 1A4']",['Information'],[[]]
DEVA,Only using alerts,DEVA,Death Valley National Park,"CA, NV",PWR,['Road work CA 190'],['Expect delays up to 20 min along CA 190 between Towne Pass and Twenty Mule Team Canyon as Caltrans installs gabion structures to reduce the risk of road damage during flooding.'],['Information'],[[]]
CHAT,Only using alerts,CHAT,Chattahoochee River National Recreation Area,GA,SER,['Paces Mill Closed for Planned Rehabilitation Project'],"['Paces Mill will be closed until May 2025 with no access to parking, facilities, or the canoe launch. The last park boat ramp south of US-41 will soon re-open with very limited vehicle access for take-out. Plan to exit the river before Paces!']",['Park Closure'],[[]]
TUZI,Only using alerts,TUZI,Tuzigoot National Monument,AZ,IMR,['Fire Restrictions in Place - NO Smoking'],"['Fire restrictions are in place at Tuzigoot National Monument. Smoking is prohibited, including Electronic Nicotine Delivery Systems (E.N.D.S.), except when inside a personal vehicle.']",['Caution'],[[]]
BADL,Only using alerts,BADL,Badlands National Park,SD,MWR,['Navigation'],"['Do not rely on GPS digital navigation systems to find your way to Badlands National Park. Please note that the Visitor Center at 25216 Ben Reifel Road, Interior SD 57750 is located just off I-90.']",['Caution'],[[]]
NOCA,Only using alerts,NOCA,North Cascades National Park,WA,PWR,"['Cascade River Road Seasonal Closure', 'Hozomeen Gate Remains Closed', 'Be Aware of Break-ins along State Route 20']","['Cascade River Road is closed for the season at Eldorado (milepost 20). Check the road conditions page for more information.', 'The gate at Hozomeen remains closed to vehicle access from Canada. Winnebago Flats and the upper Hozomeen campgrounds will remain closed. For more information visit the news release on summer operations.', 'Prevent smashed windows and theft. Break-ins are not uncommon at trailheads along State Route 20. Remove your valuables and electronics and take associated electronic cords.']","['Park Closure', 'Park Closure', 'Caution']","[[], [], []]"
MACA,Only using alerts,MACA,Mammoth Cave National Park,KY,SER,['Green River Ferry Status'],['The Green River Ferry status can change without advanced warning. For the most up-to-date ferry status information please call the Green River Ferry Hotline at (270) 758-2166 or follow the Mammoth Cave Roads and Ferry Twitter feed.'],['Information'],[[]]
AMCH,Only using alerts,AMCH,Amache National Historic Site,CO,IMR,['Road Damage'],"['Due to damage from heavy rains, some roads may require high clearance or 4x4 vehicles for passage. Please use caution when approaching and driving on roadways. Trailers over 30 ft not advised.']",['Caution'],[[]]
MORR,Only using alerts,MORR,Morristown National Historical Park,NJ,NER,['Passaic River Trail Bridge washed out'],"[""Tropical Storm Ida washed out the Passaic River bridge on the Patriot's Path Trail south of Tempe Wick Road. This area is a known habitat of the endangered wood turtle, so do not wade, walk, or let your dog run in the river at this location.""]",['Caution'],[[]]
BAND,Only using alerts,BAND,Bandelier National Monument,NM,IMR,['The Use of GPS is NOT Recommended'],['Numerous visitors have been routed to remote trailheads and out-of-the-way roads trying to use GPS to reach the main park area or shuttle stop.'],['Caution'],[[]]
SAND,Only using alerts,SAND,Sand Creek Massacre National Historic Site,CO,IMR,['8 Miles of Unpaved Road to Reach Park'],"['In order to reach the Sand Creek Massacre NHS, you must travel on at least 8 miles of unpaved roads. We are not able to guarantee road conditions of county roads 54 or W after spring storms.']",['Caution'],[[]]
CHCU,Only using alerts,CHCU,Chaco Culture National Historical Park,NM,IMR,['Road Conditions - 11/12/2024'],"['If entering into the park today, we recommend taking the north road (CR 7950). Having AWD or 4WD is advised, as there are still muddy sections along that road. We do not recommend taking the south road into the park (Hwy 57) for any reason.']",['Caution'],[[]]
COLO,Only using alerts,COLO,Colonial National Historical Park,VA,NER,['Rehabilitation of Colonial Parkway continues with additional Parkway closures'],"['Beginning Tuesday, April 9, 2024, construction will close the Colonial Parkway to all travel in either direction between Yorktown and VA Route 199. Follow all detour signs. See additional closure information in the link below.']",['Park Closure'],[[]]
MANA,Only using alerts,MANA,Manassas National Battlefield Park,VA,NCR,['Brawner Restrooms Closed for the Season'],['The Brawner Restrooms are now closed until Spring 2025. Restroom facilities are available across the way at Manassas NBP Headquarters located at 12521 Lee Highway.'],['Park Closure'],[[]]
VALL,Only using alerts,VALL,Valles Caldera National Preserve,NM,IMR,"['Backcountry vehicle route closed for the season', 'Trail closure for pipeline restoration project']","['Due to this and upcoming winter storms, the backcountry vehicle route has closed for the season until May 15, 2025.', 'The VC09/South Valle Toledo/Posos Trail from the Valle Toledo parking area to the eastern park boundary is closed for restoration. The NPS is working on a trail reroute for the 2025 season and will provide details early next year.']","['Information', 'Park Closure']","[[], []]"
CARE,Only using alerts,CARE,Capitol Reef National Park,UT,IMR,"['Visitor Center Parking Lot Construction', 'Scenic Drive Rehabilitation Project']","['The visitor center parking lot is being expanded and reconfigured. It is partially closed to facilitate work. Expect flaggers. Look for signs to alternate parking for vehicles over 20 feet.', 'The Scenic Drive is closed from just south of the campground to Capitol Gorge for construction. Expect heavy truck traffic. Most of the park remains accessible. The road is currently expected to reopen in early December.']","['Information', 'Park Closure']","[[], [{'title': 'Scenic Drive Road Closure', 'id': '1B2DCFFA-A1AD-4707-8115-6781612AEAAC', 'type': 'roadevent', 'url': 'https://www.nps.gov/care/planyourvisit/conditions.htm'}]]"
